id,z_phot,sep_arcsec,closest_obsid,field
19354,5.4279175,25.19691785851605,212905608,ceers-full
20010,8.934445,22.84215313349313,213002751,ceers-full
20632,5.653135,13.764247639625523,212905608,ceers-full
23054,6.8682966,24.869850234852183,213002839,ceers-full
41179,7.24225,28.86384470400481,212905669,ceers-full
41913,5.2459974,0.005680786579776695,378637840,ceers-full
70681,7.9008055,28.14968713639181,212954369,ceers-full
71321,7.12932,7.260154452977014,250848007,ceers-full
72956,8.90418,22.561225259916487,212821661,ceers-full
73890,5.6603184,19.072396394727562,236585194,ceers-full
2981,4.812245,13.526107275001584,97276625,gds
5434,4.1072683,24.823039295968503,355580768,gds
22388,7.18187,21.531549890219274,377024156,gds
32147,4.603241,23.129445849371415,233006871,gds
32402,4.9424376,12.52842668417217,377847710,gds
37563,5.7131443,26.06507362150652,353046467,gds
39509,4.2876787,25.623165023885804,200072070,gds
46221,4.0452294,6.198391163760554,224908656,gds
46281,4.789628,18.439837517623477,183106679,gds
65646,5.658066,27.673153001411325,377893516,gds
66116,6.846422,17.751571508754736,377893516,gds
10696,5.6677623,22.410850575902074,300768404,primer-cosmos-east
15850,7.0456376,28.842986379046685,213220555,primer-cosmos-east
16563,5.0219927,6.9176826089365955,213220555,primer-cosmos-east
17813,5.226693,25.800682482777923,300769292,primer-cosmos-east
31770,5.77907,28.72525124368652,214858246,primer-cosmos-east
50988,4.526494,16.069230395974092,214932784,primer-cosmos-east
51855,4.651201,26.900685621621793,214932784,primer-cosmos-east
52124,4.833804,14.45586762340968,200878777,primer-cosmos-east
25633,7.051051,28.843162634528944,213220555,primer-cosmos-west
26495,5.019624,6.917450170238523,213220555,primer-cosmos-west
57944,5.28979,7.9514693157112735,110500481,primer-uds-north
69921,5.6548767,26.811682341978575,365512119,primer-uds-north
55783,4.6260314,0.025520050634088024,378645770,primer-uds-south
