rank,A_G,gamma,beta,z_on,mean_delta_chi2,min_delta_chi2,n_support,n_nullwin,score,per_source_dc2
1,0.18857142857142858,0.5,1.5799999999999998,2.0,31.55,-6.93,0,0,29.5,-4.1;4.4;196.6;0.3;-6.9;-0.9
2,0.18857142857142858,0.5,0.6599999999999999,4.0,31.64,-7.49,0,0,29.4,-3.7;5.1;196.6;0.3;-7.5;-1.0
3,0.18857142857142858,0.5,1.1199999999999999,3.0,31.58,-7.44,0,0,29.4,-4.0;5.0;196.6;0.3;-7.4;-1.0
4,0.18857142857142858,0.5,1.1199999999999999,2.0,31.56,-8.12,0,0,29.1,-4.1;5.7;196.7;0.3;-8.1;-1.1
5,0.18857142857142858,0.5,0.2,4.0,31.66,-8.77,0,0,29.0,-3.7;6.5;196.7;0.4;-8.8;-1.1
6,0.18857142857142858,0.5,0.6599999999999999,3.0,31.6,-8.71,0,0,29.0,-3.9;6.3;196.7;0.4;-8.7;-1.1
7,0.18857142857142858,0.5,0.6599999999999999,2.0,31.59,-9.51,0,0,28.7,-4.0;7.2;196.7;0.5;-9.5;-1.2
8,0.18857142857142858,0.5,0.2,3.0,31.64,-10.21,0,0,28.6,-3.9;8.0;196.7;0.5;-10.2;-1.3
9,0.18857142857142858,0.5,0.2,2.0,31.66,-11.14,0,0,28.3,-4.0;9.2;196.7;0.6;-11.1;-1.4
10,0.18857142857142858,0.5,2.5,5.0,-2.94,-11.96,0,0,-6.5,-3.5;1.4;-12.0;0.1;-3.1;-0.5
11,0.18857142857142858,0.5,2.04,5.0,-3.12,-12.93,0,0,-7.0,-3.5;1.8;-12.9;0.1;-3.7;-0.6
12,0.18857142857142858,0.5,1.5799999999999998,5.0,-3.32,-13.97,0,0,-7.5,-3.5;2.3;-14.0;0.1;-4.3;-0.6
13,0.18857142857142858,0.5,2.5,4.0,-3.43,-14.14,0,0,-7.7,-3.9;1.9;-14.1;0.1;-4.0;-0.6
14,0.18857142857142858,0.5,1.1199999999999999,5.0,-3.53,-15.09,0,0,-8.1,-3.4;2.9;-15.1;0.2;-5.0;-0.7
15,0.18857142857142858,0.5,2.04,4.0,-3.65,-15.28,0,0,-8.2,-3.9;2.5;-15.3;0.1;-4.7;-0.7
16,0.18857142857142858,0.5,2.5,3.0,-3.75,-15.6,0,0,-8.4,-4.1;2.4;-15.6;0.1;-4.6;-0.7
17,0.18857142857142858,0.5,0.6599999999999999,5.0,-3.74,-16.3,0,0,-8.6,-3.4;3.7;-16.3;0.2;-5.9;-0.8
18,0.18857142857142858,0.5,1.5799999999999998,4.0,-3.87,-16.51,0,0,-8.8,-3.8;3.1;-16.5;0.2;-5.5;-0.8
19,0.18857142857142858,0.5,2.5,2.0,-3.93,-16.48,0,0,-8.9,-4.2;2.7;-16.5;0.2;-5.1;-0.7
20,0.18857142857142858,0.5,2.04,3.0,-3.98,-16.86,0,0,-9.0,-4.1;3.1;-16.9;0.2;-5.4;-0.8
