Category,ID,R.A.,Decl.,{phot}$,$\Delta \chi^2_\nu$,$\Delta,,(G_{\mathrm{eff}})$,$\alpha_{\rm AGN}$
Support,51514,150.131699,2.435682,4.437,1277.4,2554.7,0.97,0.24,0.397
Support,16152,150.124924,2.214572,5.714,1273.5,2547.0,1.01,0.0,0.751
Support,59626,214.860157,52.877433,6.367,1271.0,1271.1,0.81,0.0,0.613
Support,9227,150.124924,2.214572,5.714,1263.9,2527.8,0.99,0.0,0.749
Support,55716,150.131699,2.435682,4.438,1225.2,2450.4,0.95,0.24,0.385
Support,36162,150.129153,2.315815,6.411,1203.0,2406.1,1.01,0.0,0.468
Support,26971,150.129153,2.315816,6.407,1197.3,2394.6,1.01,0.0,0.462
Support,18537,53.116682,-27.839793,4.277,1194.8,2389.7,0.33,0.0,0.694
Weak,8118,150.098122,2.174918,5.642,9.7,19.4,3.77,1.11,0.669
Weak,71893,34.35613,-5.084246,6.429,9.3,18.6,1.4,0.0,0.123
Weak,29568,150.115226,2.282987,4.36,9.2,18.5,0.43,0.1,0.01
Weak,31645,34.514179,-5.155046,4.756,8.2,16.5,0.0,0.0,0.737
Neutral,27072,150.20509,2.316944,4.957,-0.0,-0.1,5.0,5.0,2.5
Neutral,28748,214.92415,52.849051,4.753,-0.6,-0.6,0.02,0.14,0.01
Neutral,39094,214.732549,52.735752,4.732,1.4,1.4,0.0,0.05,0.164
Neutral,55783,34.270712,-5.217679,4.626,-0.3,-0.7,0.37,0.49,0.132
Null wins,31668,150.1411,2.338375,5.608,-628.2,-1256.5,0.4,0.0,0.01
Null wins,29392,34.29312,-5.26407,7.471,-523.5,-1047.0,0.21,0.58,0.01
Null wins,59162,214.80667,52.837802,7.841,-475.5,-475.5,2.86,1.51,0.01
Null wins,40799,150.156856,2.379458,7.681,-301.4,-602.8,1.37,0.64,0.01
